,Season,Date,Home_Team_ID,Away_Team_ID,Home_Goals,Away_Goals,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,HomeTeamRating,AwayTeamRating,HomeShortPass,AwayShortPass,HomeLongPass,AwayLongPass,HomeFreeKickAccuracy,AwayFreeKickAccuracy,HomeBallControl,AwayBallControl,HomeSprintSpeed,AwaySprintSpeed,HomeShotPower,AwayShotPower,HomeInterception,AwayInterception,HomePenalties,AwayPenalties,HomeStandingTackle,AwayStandingTackle,HomeSlindingTackle,AwaySlindingTackle,Away Support,HomeTeamWins_Home,HomeTeamWins_Away,AwayTeamWins_Home,AwayTeamWins_Away,HomeVsAway_Home,HomeVsAway_Away,,Outcome
33,2008/2009,08-11-2008 00:00,8654,8668,1,3,36374,30687,24751,23818,26348,36394,24223,33049,30734,33781,118390,31465,30371,24004,23268,33086,24011,30876,109058,24006,30735,25666,75.27272727,78.18181818,65,68.72727273,59.63636364,63.63636364,46.18181818,46.36363636,66.18181818,69.27272727,73.90909091,75.36363636,58.54545455,71.63636364,68.45454545,72.63636364,67.45454545,70,60.45454545,62.27272727,59.45454545,60,3370,0.5,0.6,0.6,0.5,0,0,,Lose
34,2008/2009,09-11-2008 00:00,10252,8549,1,2,30380,33863,24658,43280,23282,24780,23782,23283,38807,23264,23354,22978,33754,24163,24167,24161,24753,24393,33128,30892,42183,35608,79.36363636,74,67.90909091,65.54545455,69.81818182,57.27272727,51.45454545,47,68.36363636,67.72727273,77.63636364,72.36363636,60.72727273,62.18181818,73.90909091,67.72727273,73.18181818,67.36363636,64.36363636,51.18181818,0,0,3981.2,0.5,0.6,0.6,0.5,0,0,,Lose
35,2008/2009,09-11-2008 00:00,8456,8586,1,2,31432,30509,24208,24211,33963,30367,24213,42119,30340,33974,25342,30455,46403,38697,30354,40006,23760,24656,34182,30818,31097,23949,78.18181818,79.18181818,66.54545455,67.90909091,64.72727273,67.90909091,49.36363636,56,72.18181818,71,77.18181818,77.72727273,66.45454545,68.45454545,62.36363636,71.81818182,67.54545455,73.90909091,53.45454545,66.09090909,50.36363636,57.54545455,4290.3,0.5,0.6,0.6,0.5,0,0,,Lose
36,2008/2009,09-11-2008 00:00,8655,8455,0,2,30622,49571,35506,23921,25667,30849,24136,0,38711,23916,34176,30859,25925,26564,30627,30635,30631,32345,30686,31906,37804,30679,65.72727273,83.09090909,54.18181818,72.27272727,55.36363636,69.36363636,37.63636364,56.54545455,56.63636364,75.18181818,63.81818182,75.63636364,52.63636364,70.81818182,62.36363636,78.09090909,58.63636364,74.45454545,55.09090909,59.09090909,54.81818182,55.63636364,2347.9,0.5,0.6,0.6,0.5,0,0,,Lose
37,2008/2009,09-11-2008 00:00,9879,10261,2,1,30633,37266,23780,26777,24781,24020,24843,30338,24737,24741,31907,24224,25518,30929,26161,37475,33852,30360,24205,34574,37799,24225,74.54545455,76.09090909,67.72727273,65.81818182,64.81818182,65.27272727,58.63636364,49.36363636,69.36363636,69.54545455,74.72727273,72.45454545,67.45454545,62.63636364,72.36363636,69.45454545,73.18181818,70.09090909,57.09090909,61.09090909,52.90909091,0,2434.4,0.5,0.5,0.6,0.5,0,0,,Win
38,2008/2009,08-11-2008 00:00,8667,8559,0,1,23021,40132,34275,26066,23022,34437,23023,30595,39073,23352,26143,23932,26454,23783,24336,23785,23934,23784,35532,24372,23937,34261,70.81818182,73.90909091,58.27272727,66.09090909,54.54545455,61.45454545,46.36363636,40.54545455,62,65.27272727,67.36363636,72.18181818,59.72727273,60.45454545,64.81818182,73.90909091,60,68.36363636,60.18181818,63.90909091,0,62.18181818,2481.6,0.5,0.6,0.6,0.5,0,0,,Lose
39,2008/2009,08-11-2008 00:00,8528,10194,0,0,34421,34987,24230,35472,111865,35327,97988,25150,24663,34466,127857,23794,40574,40005,40695,35467,24133,23333,35636,25668,38755,23314,73.27272727,69.54545455,63.09090909,59.09090909,56.81818182,53.72727273,50.54545455,44.90909091,66.36363636,58.54545455,74.63636364,68.54545455,64.90909091,56.90909091,66.18181818,67,66.81818182,64.18181818,55.54545455,59.81818182,0,0,1835,0.5,0.6,0.6,0.5,0,0,,Tie
40,2008/2009,15-11-2008 00:00,10260,10194,5,0,30726,24150,30865,43248,32569,30893,34944,24148,30802,38817,27430,23794,40574,40005,40695,35467,23333,24133,35636,25668,38755,23314,82.09090909,69.54545455,74.27272727,59.09090909,71.18181818,53.72727273,55.09090909,44.90909091,74.54545455,58.54545455,75.09090909,68.54545455,67.63636364,56.90909091,75.63636364,67,74.81818182,64.18181818,61.81818182,59.81818182,57.18181818,0,7530.4,0.5,0.6,0.6,0.6,0,0,,Win
41,2008/2009,15-11-2008 00:00,9825,10252,0,2,23686,26111,38835,30616,31291,31013,30613,39297,26181,27277,36410,30380,33863,43280,24658,30357,23354,23283,38609,23782,38807,23264,80.09090909,79.27272727,72.90909091,68.36363636,70.09090909,69.09090909,47.54545455,47.18181818,73.72727273,68.72727273,77.45454545,76.09090909,64.27272727,61.90909091,70,72.81818182,71.90909091,72.90909091,61.54545455,63.18181818,64.36363636,0,6004,0.6,0.6,0.6,0.6,0,0,,Lose
42,2008/2009,15-11-2008 00:00,8654,8462,0,0,36374,30687,24751,23818,26348,30966,24223,109898,118390,34543,33781,36286,34036,26108,24216,24630,25517,24653,23988,40987,30830,30348,73.18181818,76.63636364,63.27272727,64.45454545,56.63636364,62.54545455,43.45454545,42.27272727,64,69.18181818,71.36363636,73.72727273,55.36363636,63.72727273,66.45454545,68.63636364,66.09090909,72.90909091,57,63.27272727,57.90909091,0,3370,0.6,0.6,0.6,0.6,0,0,,Tie
43,2008/2009,16-11-2008 00:00,8668,8549,1,1,31465,30371,24004,23268,33086,24011,39618,30876,24006,24160,30735,22978,33754,24163,24167,24161,24393,33128,35544,30892,35608,42183,79.45454545,74.09090909,69.18181818,66.36363636,66.18181818,60.45454545,49.90909091,50.72727273,69.45454545,68.27272727,76.18181818,71.54545455,72,61.45454545,72.09090909,68.72727273,70.90909091,68.27272727,63.27272727,55.36363636,60.18181818,0,3566.7,0.6,0.6,0.6,0.6,0,0,,Tie
44,2008/2009,15-11-2008 00:00,10261,8528,2,2,24224,25518,26209,30929,37475,33852,24205,30360,34574,24225,37799,34421,35472,24230,25005,111865,35327,25150,97988,24890,41877,24841,75.54545455,72.09090909,65.36363636,60.54545455,64.90909091,58.09090909,51.45454545,55,69,64.72727273,73.63636364,73.72727273,61.63636364,64.54545455,68.45454545,61.09090909,69.81818182,62.36363636,60.45454545,57,0,0,4875,0.6,0.6,0.6,0.6,0,0,,Tie
45,2008/2009,15-11-2008 00:00,8655,8472,1,2,30622,37764,19020,35506,24136,49571,38711,23889,23916,30646,34176,24527,36786,24740,24446,24408,24655,24411,30352,38802,33418,30988,74.72727273,73.45454545,61.27272727,60.45454545,58.54545455,57.18181818,43.09090909,47.27272727,64.27272727,64.72727273,69.72727273,74.36363636,57.54545455,63.63636364,68.27272727,68.27272727,68.18181818,66.27272727,60.18181818,54.45454545,57.36363636,54.81818182,2347.9,0.6,0.6,0.6,0.6,0,0,,Lose
46,2008/2009,15-11-2008 00:00,9879,8586,2,1,30633,37266,23780,26777,24781,30956,30338,24843,24020,31907,24741,30455,46403,38697,30354,31921,23760,34182,24656,30818,31097,23949,74.36363636,79.72727273,67.72727273,68.90909091,64.45454545,69.72727273,56.45454545,59.45454545,68.81818182,71.63636364,74.63636364,78.54545455,67.81818182,70.36363636,72.54545455,72.45454545,73.18181818,74.63636364,54.09090909,65.90909091,52,57.54545455,2434.4,0.6,0.5,0.6,0.6,0,0,,Win
47,2008/2009,15-11-2008 00:00,8559,8650,0,2,23932,26454,23783,24336,23785,24372,23933,35532,23784,34261,23934,30660,30617,24134,25984,34222,30889,38818,37139,30618,37920,24635,74.72727273,81.90909091,66.54545455,71.27272727,61.90909091,73.63636364,42.36363636,57.36363636,65.72727273,72.81818182,71.36363636,74.09090909,61.09090909,70.54545455,73.72727273,80.81818182,68.63636364,78.09090909,65.18181818,63.54545455,63.72727273,59.63636364,2248.6,0.6,0.6,0.6,0.6,0,0,,Lose
48,2008/2009,15-11-2008 00:00,8659,8455,0,3,36373,31731,37280,26527,24728,40055,24171,24664,38433,32570,27267,23984,25925,31306,30627,30635,30631,32345,30686,31906,37804,30679,70.90909091,81.54545455,62.36363636,71.81818182,55.90909091,69.36363636,48.63636364,53.90909091,63.09090909,73.81818182,68,76.18181818,62.54545455,68.36363636,63.90909091,77.18181818,68.72727273,78.54545455,56,59.45454545,53.09090909,58,2582.8,0.6,0.6,0.6,0.6,0,0,,Lose
